#lon lat str1 dip1 rake1 str2 dip2 rake2 sc iexp name
96.09 22.65 359 79 172 90 82 11 1.010 24 200812202322A
71.41 36.02 8 51 52 239 53 127 3.372 23 200812212238A
97.86 23.97 353 76 174 84 84 14 2.309 23 200812252020A
70.91 36.48 92 29 94 267 61 88 6.654 24 200812290337A
70.36 36.44 264 28 77 99 63 97 0.917 26 200901032023A
70.65 36.46 282 35 131 55 65 66 3.988 24 200901042312A
80.92 43.41 69 41 77 267 50 102 4.938 23 200901250147A
72.04 38.67 291 66 -178 200 89 -24 3.365 23 200901252116A
83.95 30.43 206 68 3 115 87 158 5.004 23 200902181011A
73.79 34.14 308 21 99 118 70 87 2.409 24 200902200348A
78.63 40.74 262 36 91 81 54 89 0.945 24 200902201002A
81.39 35.57 345 51 -131 219 54 -51 2.361 23 200902280843A
71.38 38.39 230 64 -21 329 71 -152 6.303 23 200903031422A
82.47 33.73 342 46 -119 201 51 -63 3.837 23 200904010234A
70.64 26.99 153 60 179 243 89 30 6.225 23 200904090146A
70.11 34.14 218 31 69 63 61 103 7.341 23 200904162127A
78.32 41.29 217 87 0 127 90 177 1.431 24 200904190408A
77.27 40.21 264 50 124 38 51 57 4.717 23 200904220926A
