76.80   39.93   273   26    109    72   66     81    3.600   25   031996B
73.12   31.32    98   33    101   265   58     83    7.630   23   040196D
92.58   28.71    12   23   -117   221   69    -79    7.300   23   060996J
88.32   29.77   172   45   -102     8   46    -78    3.540   24   070396A
88.19   29.92   175   27    -83   347   63    -94    3.720   23   070396B
96.53   24.68    93   70     11   359   80    159    1.210   24   072696A
94.85   20.80   204   60     33    96   62    146    7.800   23   072796A
88.67   29.74    23   32    -41   150   70   -115    1.790   24   073196C
70.59   35.96   230    8     23   118   87     97    6.990   24   091496D
95.05   19.27   191   68     20    93   71    157   11.040   24   111196E
93.38   24.05   102   34     59   317   61    109   13.010   23   111996A
77.86   35.45   180   71    170   273   81     19    2.370   26   111996B
76.84   39.00   345   19    117   136   73     81    4.250   23   112396A
99.90   30.67    28   71   -167   294   78    -19    1.570   24   122196B
80.29   29.43   279   19     68   122   73     97    2.450   24   010597A
77.26   39.51   315   75   -177   224   87    -15    7.740   24   012197B
77.42   38.97    42   43     10   304   83    132    7.150   23   012997A
95.82   35.70     1   70   -172   268   83    -20    2.000   24   020997B
76.89   39.40   180   80   -173    89   83    -10    3.350   24   030197A
85.02   33.15    35   26    -43   165   73   -110   11.810   23   032197B
76.93   39.41   161   78    179   251   89     12    7.730   24   040597G
77.03   39.52   253   43    -36    10   67   -127   10.510   24   040697A
76.99   39.48   227   36    -61    12   59   -109    9.610   23   040697C
76.93   39.61   240   37    -45     9   65   -118    2.060   25   041197C
77.20   39.64   243   48    -65    28   48   -115   10.620   23   041297C
94.18   22.55   150   61    165   247   77     30    8.660   23   041497G
76.99   39.69   170   66   -162    73   74    -25    6.560   24   041597F
92.36   24.51    78   68      4   347   86    158    8.570   24   050897A
70.68   36.51   273   38    124    52   60     66    5.020   25   051397C
80.22   23.06   283   26    129    61   70     73    5.830   24   052197H
78.06   37.18   117   23     91   296   67     90    4.320   23   053097A
77.18   39.80   345   72   -167   251   78    -18    5.540   23   062497A
94.64   21.41   208   37     24    98   76    124   12.060   23   071197G
93.43   23.80   330   16     40   201   80    103    9.060   23   073197A
97.46   30.16    73   27    -90   253   63    -90    7.780   23   080997A
70.55   36.32   243   47    110    35   47     70    2.900   23   081397A
81.02   35.75    69   49     -4   161   87   -139    9.130   23   101597H
77.07   39.59   339   81    178    70   88      9   11.850   23   101797D
85.39   28.60    21   31    -70   178   61   -102    2.170   24   110397A
86.96   35.33    79   69      2   348   88    159    2.230   27   110897A
88.56   33.58    46   32    -60   192   62   -107   10.600   23   110997A
92.70   22.21   163   37    168   263   83     54    1.550   25   112197C
70.62   36.53   289   19     92   107   71     89    3.170   25   121797B
96.52   25.01   122   84      5    32   85    174    5.140   24   123097D
70.94   36.36   281   29    107    82   63     81    1.960   24   021498A
70.88   36.50   184   15    100   354   75     87    3.960   25   022098D
76.88   39.94   243   23     79    75   68     95    3.260   24   031998C
70.00   36.46   259   14     78    91   76     93    8.260   24   032198D
95.09   24.84   132   68    156   232   68     24    1.960   24   050298B
79.06   37.55    95    9     63   302   82     94    3.070   24   052898F
70.08   37.38   200   79     -7   291   83   -169    7.890   25   053098A
70.07   37.03    99   73   -170     7   81    -17    5.680   23   062998A
88.47   29.83    16   32    -83   187   59    -95    4.770   24   072098A
88.50   29.93    34   43    -90   214   47    -90    4.500   23   072198A
77.13   39.67   231   30    -56    13   66   -108    3.270   24   080298A
88.31   29.86    14   46    -67   162   48   -112    6.810   24   082598A
77.22   39.51   240   78      0   330   90   -168    3.890   25   082798B
88.41   30.08   199   45    -90    19   45    -90    3.630   23   082898C
77.30   39.47   234   32    -90    54   58    -90    3.330   23   090398B
93.60   27.87   233   26    118    22   67     77    3.600   23   092698B
88.25   29.64   139   32   -112   345   60    -76    6.110   23   093098A
88.60   29.89    26   29    -77   191   62    -97    7.110   23   100598B
94.74   23.82    86   12    180   177   90     78    1.120   24   101698A
70.87   36.35   126   54    136   246   56     46    3.070   24   121198E
79.29   30.23   279   10     76   113   80     92    7.110   25   032899A
